productName,price,link,image
Jasmine Floral Water,$7.50,https://www.spaorder.com/fleur-jasmine-floral-water-6oz/,http://res.cloudinary.com/fleuroils/image/upload/v1474518765/Floral%20Water/jasmine.jpg
Lavender Floral Water,$5.50,https://www.spaorder.com/fleur-lavender-floral-water-6oz/,http://res.cloudinary.com/fleuroils/image/upload/v1474518765/Floral%20Water/lavender.jpg
Orange Blossom Floral Water,$4.95,https://www.spaorder.com/fleur-orange-blossom-floral-water-6oz/,http://res.cloudinary.com/fleuroils/image/upload/v1474518765/Floral%20Water/orange.jpg
Rose Floral Water,$4.95,https://www.spaorder.com/fleur-rose-floral-water-6oz/,http://res.cloudinary.com/fleuroils/image/upload/v1474518765/Floral%20Water/rose.jpg
