productName,price,link,image
Calmante Oil Synergy (Blends),$4.80,https://www.spaorder.com/fleur-calmante-oil-synergy-blends/,http://res.cloudinary.com/fleuroils/image/upload/v1474520758/Synergy/synergy.jpg
Exotique Oil Synergy (Blends),$5.75,https://www.spaorder.com/fleur-exotique-essential-oil-synergy-blends/,http://res.cloudinary.com/fleuroils/image/upload/v1474520758/Synergy/synergy.jpg
Zen / Anti-Stress Oil Synergy (Blends),$5.00,https://www.spaorder.com/fleur-zen-anti-stress-essential-oil-synergy-blends/,http://res.cloudinary.com/fleuroils/image/upload/v1474520758/Synergy/synergy.jpg
